,numzan,numgroup,numclient,type1,type2,type3,online,sex,datebirth,age
0,401346550,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
1,401348283,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
2,401351970,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
3,401355095,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
4,401365374,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
5,401368081,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
6,401372365,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
7,401380348,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
8,401391026,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
9,401394727,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
10,401398150,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
11,401403083,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
12,401406357,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
13,401409661,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
14,401414880,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
15,401419639,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
16,401451569,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
17,401465856,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
18,401471062,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
19,401486886,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
20,401497486,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
21,401500651,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
22,401525021,801346550,101352023,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Цигун,Да,Женщина,1959-01-18,64
